Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
a4k.amazon.co.uk,0,0,0,0,0,0
a4k.amazon.com,0,0,0,0,0,0
aax-eu.amazon-adsystem.com,3,0,0,0,0.0,0.0
aax-us-east.amazon-adsystem.com,210,0,990,54060,990.0,54060.0
aca-livecards-service-eu.amazon.com,0,0,0,0,0,0
ags-ext.amazon.com,0,0,0,0,0,0
alexa.amazon.co.uk,0,0,0,0,0,0
alexa.amazon.com,0,0,0,0,0,0
andr-22-aftt-0.api.amazonvideo.com,0,0,0,0,0,0
api.amazon.co.uk,0,0,0,0,0,0
api.amazon.com,76,0,491,26946,491.0,26946.0
api.amazonalexa.com,25,0,323,21342,323.0,21342.0
api.eu.amazonalexa.com,0,0,0,0,0,0
appstore-tv-prod-eu.amazon.com,0,0,0,0,0,0
appstore-tv-prod-na.amazon.com,0,0,0,0,0,0
arcus-uswest.amazon.com,27,0,251,13710,251.0,13710.0
aviary.amazon.com,2,0,11,606,11.0,606.0
aviary.amazon.de,0,0,0,0,0,0
avs-alexa-18-eu.amazon.com,0,0,0,0,0,0
avs-alexa-18-na.amazon.com,1,0,55,2982,55.0,2982.0
avs-alexa-4-eu.amazon.com,0,0,0,0,0,0
avs-alexa-4-na.amazon.com,4,0,187,10146,187.0,10146.0
avs-alexa-5-eu.amazon.com,0,0,0,0,0,0
avs-alexa-5-na.amazon.com,1,0,22,1200,22.0,1200.0
avs-alexa-eu.amazon.com,0,0,0,0,0,0
avs-alexa-na.amazon.com,0,0,0,0,0,0
cdws.eu-west-1.amazonaws.com,0,0,0,0,0,0
cdws.us-east-1.amazonaws.com,7,0,0,0,0.0,0.0
cognito-identity.eu-west-1.amazonaws.com,0,0,0,0,0,0
cognito-identity.us-east-1.amazonaws.com,0,0,0,0,0,0
cortana-gateway.amazon.com,0,0,0,0,0,0
dcape-na.amazon.com,3,0,0,0,0.0,0.0
det-ta-g7g.amazon.com,14,0,22,1200,22.0,1200.0
device-messaging-na.amazon.com,0,0,0,0,0,0
device-metrics-us.amazon.com,0,0,0,0,0,0
dp-discovery-na-ext.amazon.com,0,0,0,0,0,0
dp-gw-na.amazon.com,3,0,0,0,0.0,0.0
dp-rsm-prod.amazon.com,0,0,0,0,0,0
drive.amazonaws.com,0,0,0,0,0,0
dss-na.amazon.com,0,0,0,0,0,0
fireoscaptiveportal.com,0,0,0,0,0,0
firereleasenotes-eu.amazon.com,0,0,0,0,0,0
firereleasenotes-na.amazon.com,0,0,0,0,0,0
firetv-news-content-ingestion.amazon.com,0,0,0,0,0,0
fls-na.amazon.com,152,0,1046,69472,1046.0,69472.0
ftv-smp.ntp-fireos.com,2,0,3,126,3.0,126.0
ftvr-eu.amazon.com,0,0,0,0,0,0
ftvr-na.amazon.com,0,0,0,0,0,0
img.vidible.tv,5,0,59,3198,59.0,3198.0
kindle-time.amazon.com,0,0,0,0,0,0
kinesis.us-east-1.amazonaws.com,4,0,22,1472,22.0,1472.0
kms.us-east-1.amazonaws.com,0,0,0,0,0,0
ktpx-eu.amazon.com,0,0,0,0,0,0
ktpx-uk.amazon.com,0,0,0,0,0,0
mads-eu.amazon.com,0,0,0,0,0,0
mads.amazon.com,4,0,13,714,13.0,714.0
mas-ext-eu.amazon.com,0,0,0,0,0,0
mas-ext.amazon.com,2,0,22,1212,22.0,1212.0
mas-sdk.amazon.com,0,0,0,0,0,0
msh.amazon.co.uk,0,0,0,0,0,0
msh.amazon.com,27,0,1459,79614,1459.0,79614.0
msh.amazon.de,0,0,0,0,0,0
ntp-g7g.amazon.com,33,0,30,1260,30.0,1260.0
prime.amazon.com,2,0,47,2598,47.0,2598.0
prime.amazon.eu,0,0,0,0,0,0
prod.amcs-tachyon.com,0,0,0,0,0,0
s.amazon-adsystem.com,238,0,338,18528,338.0,18528.0
softwareupdates.amazon.com,2,0,18,984,18.0,984.0
tinytts.amazon.com,0,0,0,0,0,0
todo-ta-g7g.amazon.com,6,0,36,1980,36.0,1980.0
unagi-eu.amazon.com,0,0,0,0,0,0
unagi-na.amazon.com,71,0,1906,103776,1906.0,103776.0
*.transport.home.nest.com,0,0,0,0,0,0
acr-eu-prd.internetat.tv,0,0,0,0,0,0
acr0.samsungcloudsolution.com,0,0,0,0,0,0
api.cspserver.net,0,0,0,0,0,0
api.samsungcloud.com,2,0,29,1930,29.0,1930.0
apu.samsungelectronics.com,0,0,0,0,0,0
bpu.samsungelectronics.com,0,0,0,0,0,0
configprd.samsungcloudsolution.net,0,0,0,0,0,0
conn.samsungcloud.com,0,0,0,0,0,0
cpu.samsungelectronics.com,0,0,0,0,0,0
dpu.samsungelectronics.com,0,0,0,0,0,0
frontdoor.nest.com,0,0,0,0,0,0
gld.push.samsungosp.com,3,0,0,0,0.0,0.0
gpm.samsungqbe.com,0,0,0,0,0,0
info.cspserver.net,0,0,0,0,0,0
ipv4.connman.net,0,0,0,0,0,0
